UserId;Female;Age;Touch;Touch_experience;Language typed;computer_usage_week;years_computer_experience;avgIKI;stdIKI;error;wpm;all_fingers;fingers_letters;fingers_left;fingers_right;keys_per_finger;keys_left;keys_right;keys_both;gaze_shift;visual_attention
5307;0;30;1;10;Fi;70;15;127.9507892;58.44981652;1.1;79.3;9;9;5;4;3.777777778;8;11;0;0.6;0.161287989
68349;1;24;0;0;Fi;35;17;185.8385762;82.8149893;0.15;49.91;9;8;4;4;5;11;16;8;1.8;0.158745167
96115;1;23;0;0;Fi;21;18;169.1881372;82.82084693;0.12;60.53;7;5;2;3;6.8;13;15;9;1.8;0.608996834
106194;0;35;0;0;En;70;16;174.5611165;92.61082048;1.28;56.02;8;6;3;3;5.166666667;11;13;5;2.2;0.621687059
120778;1;25;0;0;Fi;49;17;139.8257899;64.64215669;0.75;65.27;9;6;4;2;5.166666667;13;10;4;1.4;0.55453308
173269;1;25;0;0;En;35;13;180.0047574;86.07045206;0.26;54.5;6;5;3;2;9.4;7;19;7;1.4;0.705639915
216367;1;31;1;12;En;84;19;150.8593156;68.54679217;1.84;66.01;8;7;3;4;4.285714286;7;12;0;0.8;0.09842082
221357;0;29;1;15;En;42;20;120.4153153;46.10840673;0.92;78.74;9;9;4;5;3.222222222;9;11;1;0;0
250694;1;22;0;0;Fi;14;11;195.9345712;94.75741823;1.15;47.97;7;6;3;3;6.833333333;8;16;5;1.6;0.679822208
267678;1;31;0;0;Fi;42;25;168.784739;75.67406494;0;51.87;8;6;4;2;4.333333333;8;13;1;0.8;0.037157222
270221;0;26;0;0;Fi;56;20;137.3050542;57.51023211;0.49;75.61;8;6;4;2;5.5;10;13;4;0;0
287951;1;50;0;0;Fi;;;266.8591034;121.4828039;0.66;37.41;7;5;2;3;9;9;18;8;1.2;0.845758374
301816;1;20;1;0.5;Fi;10;13;202.1420591;108.5321006;0.38;41.05;9;8;4;4;4.5;9;12;2;1.8;0.246381119
364976;0;22;0;0;Fi;35;9;141.3698147;60.84336703;0.39;70.5;9;7;4;3;4;10;12;3;0;0
372392;0;27;0;0;En;63;20;132.6412639;57.21445608;0;75.09;7;5;4;1;5;11;12;4;1.4;0.199588416
376930;1;55;1;40;Fi;21;35;189.2541054;89.30591522;2.32;48.24;6;6;4;2;4.333333333;8;12;1;1.4;0.770623191
379044;0;40;1;24;Fi;35;32;230.8166215;126.9667668;0.32;40.44;10;9;5;4;4.222222222;8;12;1;2.2;0.637808563
398591;0;24;1;6;En;56;6;276.9294872;193.0870231;0.37;34.48;10;10;5;5;3.3;8;12;1;;
419655;1;23;1;15;Fi;42;16;172.3897996;80.58694727;1.2;58.11;9;8;4;4;2.875;7;12;0;0;0
431334;0;30;1;15;Fi;70;25;155.7057245;70.4607516;0.29;64.42;9;8;4;4;2.75;7;12;0;0;0
438454;1;44;1;21;En;48;24;136.1690265;51.28113314;0.15;73.36;10;10;5;5;4.4;10;13;4;0;0
497021;1;48;0;0;Fi;14;18;148.1637168;60.95392655;0.5;66.18;8;6;3;3;5.666666667;8;12;1;1.4;0.719128403
535385;0;39;1;28;Fi;24;27;207.0123566;130.0281924;0.21;44.53;10;9;5;4;2.888888889;8;12;1;2.6;0.261668848
549687;1;23;0;0;En;63;17;132.0823864;57.82172701;0.48;74.33;9;7;4;3;4.714285714;9;13;3;1.6;0.490314756
554712;1;26;0;0;Fi;30;14;174.1555352;73.65301279;0;59.36;8;7;4;3;3.714285714;9;11;1;0.4;0.103030303
760858;0;27;0;0;En;60;11;185.1082056;88.48244167;0.72;49.5;9;7;4;3;5.142857143;9;14;4;1.8;0.712408605
823773;0;29;0;0;En;56;16;138.1578073;74.6135226;0;61.05;10;8;4;4;5.125;11;12;4;0;0
851866;1;34;1;20;Fi;48;28;193.8547439;83.30012035;0.09;48.28;9;9;5;4;4.444444444;10;12;3;1;0.189554463
915322;1;30;1;14;En;63;22;129.5416667;58.84139579;0.71;74.49;9;9;5;4;2.333333333;8;12;1;0.6;0.038336896
934313;0;30;0;0;En;70;20;201.4143389;97.24408528;1.64;46.78;7;6;3;3;5.5;11;12;4;1.6;0.58297856
